HDI rank 2020,Country,HDI 2019 ,Life expectancy at birth 2019,Expected years of schooling 2019,Mean years of schooling 2019,Gross national income (GNI) per capita 2019,GNI per capita rank minus HDI rank 2019,HDI rank 2018,label,Refugees by country of origin 1000s 2019,Internally displaced persons 1000s,Homeless people due to natural disaster avergae per million,Orphaned children 1000s 2019,Prison population per 100k 2013-18,Homicide rate per 100k 2013-18,Suicides per 100K Female 2016,Suicides per 100K Male 2016,"HIV prevalence, adult % 15-49",Healthy life expectancy at birth,Current health expenditure % GDP,Exports and imports % GDP,"Foreign direct investment, net inflows  % GDP",Net migration rate per 1000,Lost health expectancy %,Physicians per 100k,Hospital beds,"Pupil–teacher ratio, primary school"
94.00,Dominica,0.74,78.21,12.97,8.14,11883.96,7.00,94.00,2.00,0.05,..,855.58,..,267.60,26.59,..,..,..,63.12,5.88,139.79,2.41,..,12.72,11.19,..,13.08
95.00,Maldives,0.74,78.92,12.20,7.02,17416.78,-24.00,98.00,2.00,0.08,..,0.00,..,373.40,0.72,1.60,3.60,..,69.11,9.03,135.74,10.11,22.84,12.59,45.63,43.00,10.16
95.00,Tunisia,0.74,76.70,15.13,7.22,10414.06,14.00,94.00,2.00,2.07,0.00,0.00,110.00,194.60,..,2.20,4.40,0.10,67.44,7.23,110.54,2.49,-0.35,13.23,13.03,21.80,16.87
97.00,Saint Vincent and the Grenadines,0.74,72.53,14.09,8.78,12377.65,0.00,96.00,2.00,0.98,..,500.00,..,426.40,36.54,0.90,3.90,..,63.64,4.49,85.20,13.56,-1.82,12.76,6.65,43.20,14.39
97.00,Suriname,0.74,71.68,13.19,9.26,14324.38,-13.00,98.00,2.00,0.02,..,..,14.00,192.00,5.43,10.90,36.10,1.40,62.93,6.23,90.96,1.83,-1.75,13.45,12.10,30.00,13.39
99.00,Mongolia,0.74,69.87,14.21,10.25,10838.67,7.00,97.00,2.00,2.37,..,0.00,73.00,151.50,6.18,3.80,23.30,0.10,60.44,4.00,125.76,17.64,-0.27,11.23,28.59,80.00,30.38
100.00,Botswana,0.74,69.59,12.85,9.56,16437.14,-27.00,102.00,2.00,0.23,..,0.00,100.00,197.00,..,5.70,18.30,20.30,54.06,6.13,74.11,1.23,1.34,13.15,5.27,18.00,23.71
101.00,Jamaica,0.73,74.48,13.14,9.73,9319.13,13.00,98.00,2.00,2.54,..,0.00,48.00,132.00,43.85,0.90,3.20,1.90,66.51,5.99,89.03,4.93,-3.87,12.77,13.06,17.20,24.79
102.00,Jordan,0.73,74.53,11.38,10.52,9858.49,8.00,103.00,2.00,2.40,..,0.00,..,160.40,1.36,2.70,4.70,0.10,67.97,8.12,87.62,2.25,1.05,13.12,23.24,14.70,18.54
103.00,Paraguay,0.73,74.25,12.71,8.54,12223.94,-4.00,104.00,2.00,0.09,..,27.54,130.00,210.30,7.14,6.20,12.30,0.50,66.45,6.65,69.16,1.02,-2.40,13.26,13.54,8.30,24.16
104.00,Tonga,0.73,70.91,14.41,11.24,6364.58,25.00,105.00,2.00,0.03,..,0.00,..,174.30,..,2.90,5.20,..,63.91,5.27,98.22,3.34,-7.75,12.43,5.40,..,21.63
105.00,Libya,0.72,72.91,12.85,7.60,15687.71,-29.00,106.00,2.00,16.04,451.00,0.00,99.00,97.20,..,2.30,8.70,0.20,65.32,..,118.32,0.00,-0.30,13.98,20.91,32.00,..
106.00,Uzbekistan,0.72,71.73,12.06,11.81,7141.95,17.00,107.00,2.00,3.23,..,0.00,520.00,144.30,1.14,4.60,10.30,0.20,60.88,6.41,73.02,3.95,-0.28,11.05,23.74,39.80,21.51
107.00,Bolivia (Plurinational State of),0.72,71.51,14.20,9.02,8553.78,9.00,108.00,2.00,0.52,0.00,43.32,280.00,160.30,6.22,8.90,16.90,0.30,63.11,6.44,56.40,-0.39,-0.84,12.37,15.90,12.90,17.80
107.00,Indonesia,0.72,71.72,13.61,8.17,11459.10,-4.00,110.00,2.00,11.09,40.00,40.38,..,95.70,0.43,2.20,5.20,0.40,62.55,2.99,37.30,2.20,-0.37,12.38,4.27,10.40,17.03
107.00,Philippines,0.72,71.23,13.15,9.39,9777.80,4.00,111.00,2.00,0.54,182.00,393.91,2620.00,182.50,6.46,2.30,5.20,0.10,62.73,4.45,68.61,2.03,-0.63,12.68,6.00,9.90,29.08
110.00,Belize,0.72,74.62,13.11,9.92,6381.60,18.00,108.00,2.00,0.07,..,..,..,344.90,37.79,2.00,9.90,1.90,65.06,5.64,115.71,6.39,3.16,12.63,11.23,10.40,19.78
111.00,Samoa,0.72,73.32,12.73,10.78,6308.65,19.00,113.00,2.00,0.00,..,0.00,..,205.10,3.15,2.20,8.70,..,61.82,5.48,91.12,2.04,-14.30,12.30,3.45,10.00,30.24
111.00,Turkmenistan,0.72,68.19,11.19,10.27,14908.67,-32.00,112.00,2.00,0.48,..,0.00,..,528.90,..,3.70,11.00,..,62.87,6.93,35.16,4.87,-0.86,11.21,22.25,40.30,..
113.00,Venezuela (Bolivarian Republic of),0.71,72.06,12.82,10.31,7044.64,11.00,101.00,2.00,93.29,..,6.23,560.00,194.20,36.69,1.20,6.60,..,65.44,1.18,48.09,0.24,-22.33,12.81,..,8.70,..
114.00,South Africa,0.71,64.13,13.79,10.24,12129.23,-14.00,115.00,2.00,0.45,0.30,15.84,3270.00,284.00,36.40,5.10,21.70,20.40,56.18,8.11,59.20,1.32,2.54,13.77,9.05,23.00,30.33
115.00,"Palestine, State of",0.71,74.05,13.41,9.17,6417.39,12.00,114.00,2.00,96.34,243.00,10.22,..,22.20,0.49,..,..,..,64.42,..,79.60,1.80,-2.19,13.89,..,..,24.45
116.00,Egypt,0.71,71.99,13.33,7.43,11466.15,-14.00,117.00,2.00,27.52,65.00,0.00,1760.00,112.20,..,1.70,7.20,0.10,62.47,5.29,48.28,2.97,-0.39,11.98,4.52,14.30,23.68
117.00,Marshall Islands,0.70,74.11,12.39,10.89,5039.04,21.00,116.00,2.00,0.01,..,0.00,..,61.40,..,..,..,..,57.38,16.40,125.73,4.41,..,12.39,4.23,..,..
117.00,Viet Nam,0.70,75.40,12.69,8.32,7432.71,3.00,118.00,2.00,316.44,..,414.76,1330.00,137.40,..,3.40,10.80,0.30,65.74,5.53,210.40,6.32,-0.84,11.71,8.28,31.80,20.28
119.00,Gabon,0.70,66.47,12.98,8.70,13929.81,-30.00,119.00,2.00,0.44,..,38.76,80.00,173.20,..,4.30,15.00,3.80,58.82,2.78,72.94,5.02,1.56,13.26,6.82,13.00,24.53
120.00,Kyrgyzstan,0.70,71.45,12.97,11.10,4864.39,23.00,120.00,3.00,2.97,..,82.98,140.00,177.10,2.19,3.70,14.80,0.20,64.93,6.19,103.09,1.74,-0.64,11.56,22.13,44.10,24.99
121.00,Morocco,0.69,76.68,13.72,5.65,7368.36,1.00,121.00,3.00,4.65,..,0.00,350.00,232.50,1.42,3.60,2.50,0.10,63.83,5.25,87.46,1.35,-1.44,12.98,7.31,10.00,26.80
122.00,Guyana,0.68,69.91,11.43,8.49,9455.01,-10.00,121.00,3.00,0.29,..,0.00,24.00,275.20,14.25,14.20,46.60,1.40,58.37,4.95,79.08,30.43,-7.72,13.28,8.02,17.10,23.16
123.00,Iraq,0.67,70.60,11.27,7.32,10800.84,-16.00,123.00,3.00,343.85,1555.00,5.31,..,105.00,10.07,3.40,4.70,..,63.38,4.17,76.37,-1.29,0.21,13.49,7.08,13.20,16.96
124.00,El Salvador,0.67,73.32,11.69,6.91,8359.12,-6.00,124.00,3.00,41.85,..,257.59,170.00,617.40,52.02,4.30,24.80,0.60,65.53,7.23,77.18,2.68,-6.33,13.45,15.66,12.00,26.89
125.00,Tajikistan,0.67,71.10,11.66,10.73,3953.60,25.00,126.00,3.00,2.00,..,17.09,180.00,..,..,1.70,5.00,0.20,61.84,7.23,56.64,2.62,-2.22,11.10,21.03,46.70,22.30
126.00,Cabo Verde,0.67,72.98,12.70,6.29,7019.17,-1.00,125.00,3.00,0.01,..,0.00,8.40,288.10,6.80,7.70,24.10,0.60,64.62,5.17,116.21,5.31,-2.48,12.37,7.81,21.00,21.07
127.00,Guatemala,0.66,74.30,10.75,6.62,8494.09,-10.00,128.00,3.00,22.77,242.00,353.49,410.00,140.90,22.50,1.70,4.40,0.40,62.91,5.81,45.87,1.26,-0.54,13.32,3.55,4.40,20.26
128.00,Nicaragua,0.66,74.49,12.32,6.91,5283.66,6.00,127.00,3.00,4.38,..,2.22,110.00,323.50,7.19,5.00,19.20,0.20,65.78,8.65,95.08,2.75,-3.31,12.74,9.78,9.30,30.22
129.00,Bhutan,0.65,71.78,12.98,4.07,10745.84,-21.00,131.00,3.00,6.99,..,0.00,..,155.60,1.19,8.90,13.80,0.30,63.23,3.19,86.71,0.11,0.43,13.58,4.24,17.40,34.67
130.00,Namibia,0.65,63.71,12.63,6.99,9356.67,-17.00,129.00,3.00,0.46,..,..,140.00,313.80,..,4.90,19.40,11.80,56.77,8.55,83.48,-0.10,-1.98,12.96,4.18,27.00,25.09
131.00,India,0.65,69.66,12.16,6.50,6681.35,-5.00,130.00,3.00,11.99,470.00,296.65,..,32.70,3.08,14.50,18.50,..,60.52,3.53,40.02,1.76,-0.40,14.48,8.57,5.30,32.75
132.00,Honduras,0.63,75.27,10.06,6.57,5308.45,1.00,132.00,3.00,26.37,247.00,81.71,200.00,216.20,38.93,1.70,5.30,0.30,63.02,7.86,96.61,3.81,-0.72,12.55,3.09,6.40,25.60
133.00,Bangladesh,0.63,72.59,11.60,6.22,4976.21,7.00,134.00,3.00,22.87,427.00,116.51,..,51.60,2.37,6.70,5.50,0.10,64.53,2.27,36.76,0.53,-2.30,13.44,5.81,7.90,30.05
134.00,Kiribati,0.63,68.37,11.80,7.98,4259.73,12.00,133.00,3.00,0.00,..,0.00,..,114.20,..,5.40,25.90,..,53.54,10.76,98.39,-0.58,-6.94,11.87,2.04,18.60,25.49
135.00,Sao Tome and Principe,0.63,70.39,12.69,6.44,3952.07,16.00,135.00,3.00,0.03,..,..,..,119.90,..,2.10,4.20,..,62.28,6.23,..,5.61,-8.03,12.20,0.53,29.00,31.16
136.00,Micronesia (Federated States of),0.62,67.88,11.55,7.80,3982.74,13.00,136.00,3.00,..,..,0.00,..,123.40,..,6.20,16.20,..,56.68,12.35,100.85,6.33,-5.36,11.62,1.77,..,19.71
137.00,Lao People's Democratic Republic,0.61,67.92,10.99,5.29,7413.33,-16.00,137.00,3.00,6.75,..,0.62,180.00,121.70,..,6.10,12.90,0.30,60.71,2.53,75.09,7.35,-2.10,11.98,3.73,15.00,22.34
138.00,Eswatini (Kingdom of),0.61,60.19,11.84,6.86,7919.06,-19.00,139.00,3.00,0.22,..,0.00,120.00,304.00,11.56,9.60,25.40,27.30,50.61,6.93,84.41,2.90,-7.38,13.13,3.29,21.00,26.60
138.00,Ghana,0.61,64.07,11.48,7.31,5268.92,-3.00,138.00,3.00,18.44,0.20,16.68,1080.00,48.60,2.09,2.90,15.80,1.70,58.22,3.26,71.38,4.56,-0.34,12.20,1.36,9.00,26.99
140.00,Vanuatu,0.61,70.47,11.73,7.06,3104.80,20.00,140.00,3.00,0.00,..,0.00,..,69.10,..,2.70,8.10,..,57.60,3.32,97.95,4.15,0.42,12.00,1.65,..,26.57
141.00,Timor-Leste,0.61,69.50,12.62,4.79,4440.46,3.00,141.00,3.00,0.02,..,154.30,31.00,54.80,4.10,3.70,9.00,..,61.65,3.88,63.01,4.46,-4.28,12.68,7.22,59.00,26.95
142.00,Nepal,0.60,70.78,12.76,5.01,3456.71,13.00,143.00,3.00,8.19,0.00,14.36,590.00,68.30,2.30,8.00,11.40,0.10,61.51,5.55,54.93,0.23,1.49,13.46,7.49,3.00,19.74
143.00,Kenya,0.60,66.70,11.34,6.56,4243.63,5.00,141.00,3.00,8.02,162.00,11.91,2080.00,101.60,4.93,2.10,9.70,4.70,58.25,4.80,33.40,1.85,-0.20,12.42,1.57,14.00,30.65
144.00,Cambodia,0.59,69.82,11.47,4.97,4246.18,3.00,144.00,3.00,11.93,..,344.81,420.00,190.80,..,3.20,9.00,0.50,61.20,5.92,123.56,13.68,-1.86,12.44,1.93,9.00,41.70
145.00,Equatorial Guinea,0.59,58.74,9.73,5.91,13944.13,-57.00,145.00,3.00,0.17,..,..,69.00,42.80,..,10.80,31.30,7.10,57.21,3.11,107.38,2.98,12.44,13.29,4.02,21.00,23.23
146.00,Zambia,0.58,63.89,11.48,7.15,3325.52,10.00,145.00,3.00,0.28,..,118.57,1100.00,148.30,5.37,6.20,17.50,11.30,55.08,4.47,70.04,2.09,-0.47,12.82,11.87,20.00,42.06
147.00,Myanmar,0.58,67.13,10.67,5.03,4960.53,-6.00,148.00,3.00,1030.77,457.00,31.74,1400.00,171.30,2.26,9.80,6.30,0.80,60.85,4.66,60.69,1.70,-3.05,12.40,6.77,10.40,24.36
148.00,Angola,0.58,61.15,11.78,5.17,6104.05,-17.00,145.00,3.00,8.19,..,334.57,1520.00,79.40,..,4.60,14.00,2.00,56.75,2.79,66.38,-4.33,0.21,12.80,2.15,..,50.03
149.00,Congo,0.57,64.57,11.73,6.52,2879.19,13.00,149.00,3.00,13.48,134.00,143.52,250.00,26.20,..,5.00,13.90,2.60,57.02,2.93,112.25,36.98,-0.77,12.86,1.65,..,44.44
150.00,Zimbabwe,0.57,61.49,10.97,8.47,2665.61,14.00,150.00,3.00,10.62,..,89.53,810.00,137.10,..,11.10,29.10,12.70,53.56,6.64,50.01,3.06,-8.15,12.25,2.10,17.00,36.41
151.00,Solomon Islands,0.57,73.00,10.22,5.71,2253.35,17.00,151.00,3.00,0.03,..,152.77,..,75.00,..,3.20,8.50,..,52.73,4.68,98.39,2.12,-2.48,10.93,1.94,14.00,25.41
151.00,Syrian Arab Republic,0.57,72.70,8.85,5.10,3613.05,2.00,152.00,3.00,6599.25,6495.00,0.00,450.00,..,0.88,1.10,3.80,0.10,63.89,..,..,..,-24.08,13.52,12.87,14.00,..
153.00,Cameroon,0.56,59.29,12.10,6.31,3580.90,1.00,153.00,3.00,66.30,969.00,139.83,1380.00,129.60,1.39,12.50,26.90,3.60,55.43,4.67,40.55,1.98,-0.19,12.50,0.88,13.00,44.83
154.00,Pakistan,0.56,67.27,8.28,5.16,5005.03,-15.00,154.00,3.00,137.18,106.00,65.64,4480.00,39.40,3.88,3.10,3.00,0.10,57.20,2.90,30.44,0.80,-1.11,13.15,9.80,6.30,44.08
155.00,Papua New Guinea,0.56,64.50,10.20,4.66,4301.10,-10.00,156.00,3.00,0.48,14.00,4.00,280.00,59.10,..,3.80,10.20,0.80,56.36,2.47,..,4.85,-0.09,12.85,0.70,..,35.52
156.00,Comoros,0.55,64.32,11.24,5.08,3099.45,5.00,154.00,3.00,0.66,..,0.00,28.00,27.00,..,5.40,17.60,0.10,60.34,7.38,43.09,0.58,-2.43,12.20,2.72,21.60,28.06
157.00,Mauritania,0.55,64.93,8.59,4.73,5134.57,-21.00,157.00,4.00,37.43,..,53.16,110.00,46.10,..,3.60,12.10,0.20,62.17,4.40,94.22,1.00,1.15,12.17,1.87,..,34.28
158.00,Benin,0.55,61.77,12.61,3.83,3254.25,0.00,158.00,4.00,0.72,3.70,1345.48,490.00,69.80,1.13,9.60,22.60,1.00,56.64,3.72,63.68,0.99,-0.18,12.17,0.79,5.00,39.20
159.00,Uganda,0.54,63.37,11.41,6.17,2123.27,15.00,160.00,4.00,7.49,32.00,12.08,2360.00,118.80,10.52,18.70,21.20,5.70,57.75,6.19,46.02,3.68,4.02,12.79,1.68,5.00,42.66
160.00,Rwanda,0.54,69.02,11.19,4.42,2155.33,12.00,159.00,4.00,246.71,..,85.59,400.00,509.10,2.58,6.00,16.90,2.50,59.83,6.57,53.66,3.13,-0.74,12.84,1.34,..,59.51
161.00,Nigeria,0.54,54.69,9.98,6.66,4910.21,-19.00,161.00,4.00,295.59,2583.00,6.68,10900.00,36.50,34.52,17.10,17.50,1.50,56.04,3.76,33.01,0.50,-0.31,12.90,3.81,..,37.55
162.00,Côte d'Ivoire,0.54,57.78,9.95,5.29,5068.61,-25.00,161.00,4.00,39.38,303.00,39.97,1570.00,66.00,..,13.00,32.00,2.60,56.19,4.45,45.60,1.07,-0.32,12.54,2.31,..,41.82
163.00,Tanzania (United Republic of),0.53,65.46,8.10,6.12,2599.85,2.00,164.00,4.00,0.87,..,46.57,2790.00,66.80,6.48,5.40,14.30,4.60,58.73,3.65,32.24,1.82,-0.72,12.59,0.14,7.00,50.63
164.00,Madagascar,0.53,67.04,10.17,6.10,1596.28,16.00,163.00,4.00,0.30,3.00,930.04,900.00,94.90,..,3.60,10.50,0.30,57.60,5.50,59.82,4.42,-0.06,12.04,1.81,2.00,39.81
165.00,Lesotho,0.53,54.33,11.32,6.54,3150.62,-6.00,165.00,4.00,0.01,..,115.37,160.00,101.50,43.56,32.60,22.70,23.60,45.24,8.76,134.62,4.78,-4.78,12.62,0.69,..,32.95
166.00,Djibouti,0.52,67.11,6.79,4.10,5689.35,-34.00,166.00,4.00,2.35,..,0.00,33.00,69.00,..,5.30,11.90,1.20,58.94,3.32,298.27,5.64,0.95,11.80,2.24,14.00,29.37
167.00,Togo,0.52,61.04,12.66,4.95,1602.35,12.00,168.00,4.00,8.03,2.00,0.00,360.00,64.80,..,10.90,22.70,2.30,57.01,6.20,71.24,-3.38,-0.26,12.34,0.77,7.00,40.15
168.00,Senegal,0.51,67.94,8.58,3.18,3309.39,-11.00,167.00,4.00,17.22,8.40,0.00,500.00,78.80,0.27,5.20,20.30,0.40,59.86,4.13,60.51,3.65,-1.28,12.57,0.69,3.00,36.32
169.00,Afghanistan,0.51,64.83,10.18,3.93,2229.36,0.00,169.00,4.00,2721.48,2993.00,221.85,1340.00,82.70,6.66,2.10,10.60,0.10,54.11,11.78,45.62,0.12,-1.72,14.55,2.78,3.90,48.79
170.00,Haiti,0.51,64.00,9.70,5.59,1708.81,7.00,170.00,4.00,26.75,2.10,709.63,400.00,79.90,6.68,6.40,18.30,2.00,55.43,8.04,74.31,1.09,-3.17,13.11,2.34,7.10,..
170.00,Sudan,0.51,65.31,7.88,3.77,3828.66,-18.00,171.00,4.00,732.84,2134.00,374.37,1520.00,51.50,..,4.60,14.50,0.20,61.42,6.34,26.72,4.36,-1.21,12.86,2.62,7.40,38.38
172.00,Gambia,0.50,62.05,9.91,3.92,2167.88,-1.00,172.00,4.00,17.83,..,0.00,100.00,55.40,..,7.30,12.80,1.90,58.32,3.28,65.48,2.03,-1.37,12.62,1.02,11.00,36.14
173.00,Ethiopia,0.49,66.60,8.81,2.88,2206.53,-3.00,174.00,4.00,95.69,1414.00,0.92,3090.00,115.90,..,4.70,18.70,1.00,60.22,3.50,28.74,3.99,0.28,12.53,0.77,3.30,55.07
174.00,Malawi,0.48,64.26,11.24,4.73,1034.68,13.00,174.00,4.00,0.61,0.20,132.00,1170.00,76.80,..,3.20,13.70,9.20,56.58,9.65,66.60,1.48,-0.90,12.56,0.36,13.00,58.68
175.00,Congo (Democratic Republic of the),0.48,60.68,9.73,6.76,1062.54,11.00,174.00,4.00,807.17,5512.00,48.34,4460.00,27.00,..,4.90,15.00,0.80,56.34,3.98,67.29,2.74,0.29,13.39,0.74,..,33.20
175.00,Guinea-Bissau,0.48,58.32,10.62,3.56,1996.04,1.00,178.00,4.00,2.09,..,0.00,110.00,32.60,1.15,6.10,8.90,3.50,53.61,7.24,57.01,1.41,-0.76,12.04,1.27,10.00,51.93
175.00,Liberia,0.48,64.10,9.58,4.81,1258.41,8.00,173.00,4.00,5.40,..,0.00,200.00,50.30,..,13.00,13.80,1.30,56.89,8.16,127.45,3.96,-1.05,13.95,0.38,8.00,22.32
178.00,Guinea,0.48,61.60,9.41,2.77,2405.18,-12.00,177.00,4.00,26.86,..,32.34,530.00,26.50,..,8.40,12.70,1.40,53.87,4.12,108.72,2.89,-0.33,12.04,0.83,3.00,47.15
179.00,Yemen,0.47,66.13,8.77,3.20,1593.70,2.00,179.00,4.00,36.53,3635.00,3.52,930.00,54.20,6.77,6.20,13.40,0.10,58.59,4.23,..,-1.02,-1.07,13.52,5.25,7.10,26.93
180.00,Eritrea,0.46,66.32,5.01,3.90,2793.48,-17.00,180.00,4.00,493.12,..,0.00,140.00,..,..,6.10,22.40,0.70,55.86,2.87,47.39,1.89,-11.57,12.44,0.63,7.00,38.74
181.00,Mozambique,0.46,60.85,9.97,3.54,1250.41,3.00,181.00,4.00,0.08,110.00,292.91,2510.00,63.50,..,4.10,14.00,12.60,50.80,4.94,112.15,18.20,-0.17,12.99,0.84,7.00,55.27
182.00,Burkina Faso,0.45,61.58,9.27,1.64,2132.96,-9.00,183.00,4.00,11.74,560.00,144.43,840.00,41.10,1.25,9.10,22.40,0.70,54.16,6.92,60.18,1.66,-1.28,12.18,0.85,4.00,39.72
182.00,Sierra Leone,0.45,54.70,10.18,3.70,1667.84,-4.00,182.00,4.00,5.27,5.50,29.20,480.00,59.10,1.73,14.20,18.20,1.50,54.06,13.42,56.70,5.33,-0.55,12.49,0.25,..,27.52
184.00,Mali,0.43,59.31,7.46,2.35,2268.77,-17.00,184.00,4.00,164.48,208.00,0.00,860.00,30.80,..,4.70,13.50,1.40,54.26,3.79,57.19,2.72,-2.12,12.24,1.29,1.00,37.83
185.00,Burundi,0.43,61.58,11.07,3.29,753.91,4.00,184.00,4.00,381.52,23.00,162.44,640.00,98.30,6.05,7.70,23.10,1.00,55.50,7.52,41.86,0.03,0.18,13.05,1.00,7.90,42.52
185.00,South Sudan,0.43,57.85,5.30,4.80,2003.32,-10.00,186.00,4.00,2234.79,1352.00,..,750.00,60.70,..,4.10,8.30,2.50,54.60,9.76,65.55,0.00,-15.90,14.34,..,..,46.75
187.00,Chad,0.40,54.24,7.35,2.52,1555.37,-5.00,187.00,4.00,11.20,176.00,38.47,1030.00,56.20,..,13.80,17.10,1.30,52.85,4.49,74.57,5.89,0.13,12.47,0.43,..,56.89
188.00,Central African Republic,0.40,53.28,7.57,4.28,993.01,0.00,188.00,4.00,610.22,592.00,377.65,370.00,17.00,20.12,6.00,18.00,3.60,45.71,5.82,66.14,0.81,-8.58,12.68,0.72,10.00,83.41
189.00,Niger,0.39,62.42,6.47,2.08,1200.90,-4.00,189.00,4.00,3.08,195.00,177.33,1030.00,42.60,..,6.70,11.50,0.30,55.06,7.74,39.71,3.63,0.18,11.92,0.43,3.90,36.34
